id,title,abstract,link,processed_abstract
127,Peanut LEAFY COTYLEDON1-type genes participate in regulating the embryo development and the accumulation of storage lipids.,"Two peanut LEC1-type genes exhibit partial functional redundancy. AhNFYB10 could complement almost all the defective phenotypes of lec1-2 in terms of embryonic morphology, while AhNF-YB1 could partially affect these phenotypes. LEAFY COTYLEDON1 (LEC1) is a member of the nuclear factor Y (NF-Y) family of transcription factors and has been identified as a key regulator of embryonic development. In the present study, two LEC1-type genes from Arachis hypogeae were identified and designated as AhNF-YB1 and AhNF-YB10; these genes belong to subgenome A and subgenome B, respectively. The functions of AhNF-YB1 and AhNF-YB10 were investigated by complementation analysis of their defective phenotypes of the Arabidopsis lec1-2 mutant and by ectopic expression in wild-type Arabidopsis. The results indicated that both AhNF-YB1 and AhNF-YB10 participate in regulating embryogenesis, embryo development, and reserve deposition in cotyledons and that they have partial functional redundancy. In contrast, AhNF-YB10 complemented almost all the defective phenotypes of lec1-2 in terms of embryonic morphology and hypocotyl length, while AhNF-YB1 had only a partial effect. In addition, 30-40% of the seeds of the AhNF-YB1 transformants exhibited a decreasing germination ratio and longevity. Therefore, appropriate spatiotemporal expression of these genes is necessary for embryo morphogenesis at the early development stage and is responsible for seed maturation at the mid-late development stage. On the other hand, overexpression of AhNF-YB1 or AhNF-YB10 at the middle to late stages of Arabidopsis seed development improved the weight, oil content, and fatty acid composition of the transgenic seeds. Moreover, the expression levels of several genes associated with fatty acid synthesis and embryogenesis were significantly greater in developing AhNF-YB10-overexpressing seeds than in control seeds. This study provides a theoretical basis for breeding oilseed crops with high yields and high oil content.",https://pubmed.ncbi.nlm.nih.gov/38643320/,two peanut lectype gene exhibit partial functional redundancy ahnfyb could complement almost defective phenotype lec term embryonic morphology ahnfyb could partially affect phenotype leafy cotyledon lec member nuclear factor nfy family transcription factor identified key regulator embryonic development present study two lectype gene arachis hypogeae identified designated ahnfyb ahnfyb gene belong subgenome subgenome b respectively function ahnfyb ahnfyb investigated complementation analysis defective phenotype arabidopsis lec mutant ectopic expression wildtype arabidopsis result indicated ahnfyb ahnfyb participate regulating embryogenesis embryo development reserve deposition cotyledon partial functional redundancy contrast ahnfyb complemented almost defective phenotype lec term embryonic morphology hypocotyl length ahnfyb partial effect addition seed ahnfyb transformants exhibited decreasing germination ratio longevity therefore appropriate spatiotemporal expression gene necessary embryo morphogenesis early development stage responsible seed maturation midlate development stage hand overexpression ahnfyb ahnfyb middle late stage arabidopsis seed development improved weight oil content fatty acid composition transgenic seed moreover expression level several gene associated fatty acid synthesis embryogenesis significantly greater developing ahnfyboverexpressing seed control seed study provides theoretical basis breeding oilseed crop high yield high oil content
128,Haemostatic gene variations in cervical cancer-associated venous thrombosis: considerations for clinical strategies.,"Venous thromboembolism (VTE) is a life-threatening haemostatic disease frequently diagnosed among the cancer population. The Khorana Score is currently the primal risk assessment model to stratify oncological patients according to their susceptibility to VTE, however, it displays a limited performance. Meanwhile, intensive research on VTE pathophysiology in the general population has uncovered a range of single-nucleotide polymorphisms (SNPs) associated with the condition. Nonetheless, their predictive ability concerning cancer-associated thrombosis (CAT) is controversial. Cervical cancer (CC) patients undergoing chemoradiotherapy often experience VTE, which negatively affects their survival. Thus, aiming for an improvement in thromboprophylaxis, new thrombotic biomarkers, including SNPs, are currently under investigation. In this study, the predictive capability of haemostatic gene SNPs on CC-related VTE and their prognostic value regardless of VTE were explored. Six SNPs in haemostatic genes were evaluated. A total of 401 CC patients undergoing chemoradiotherapy were enrolled in a retrospective cohort study. The implications for the time to VTE occurrence and overall survival (OS) were assessed. CAT considerably impacted the CC patients' OS (log-rank test, P < 0.001). SERPINE1 rs2070682 (T > C) showed a significant association with the risk of CC-related VTE (CC/CT vs. TT, log-rank test, P = 0.002; C allele, Cox model, hazard ratio (HR) = 6.99 and P = 0.009), while F2 rs1799963 (G > A) demonstrated an important prognostic value regardless of VTE (AA/AG vs. GG, log-rank test, P = 0.020; A allele, Cox model, HR = 2.76 and P = 0.026). For the remaining SNPs, no significant associations were detected. The polymorphisms SERPINE1 rs2070682 and F2 rs1799963 could be valuable tools in clinical decision-making, aiding in thromboprophylaxis and CC management, respectively.",https://pubmed.ncbi.nlm.nih.gov/38643313/,venous thromboembolism vte lifethreatening haemostatic disease frequently diagnosed among cancer population khorana score currently primal risk assessment model stratify oncological patient according susceptibility vte however display limited performance meanwhile intensive research vte pathophysiology general population uncovered range singlenucleotide polymorphism snp associated condition nonetheless predictive ability concerning cancerassociated thrombosis cat controversial cervical cancer cc patient undergoing chemoradiotherapy often experience vte negatively affect survival thus aiming improvement thromboprophylaxis new thrombotic biomarkers including snp currently investigation study predictive capability haemostatic gene snp ccrelated vte prognostic value regardless vte explored six snp haemostatic gene evaluated total cc patient undergoing chemoradiotherapy enrolled retrospective cohort study implication time vte occurrence overall survival o assessed cat considerably impacted cc patient o logrank test p serpine r c showed significant association risk ccrelated vte ccct v tt logrank test p c allele cox model hazard ratio hr p f r g demonstrated important prognostic value regardless vte aaag v gg logrank test p allele cox model hr p remaining snp significant association detected polymorphism serpine r f r could valuable tool clinical decisionmaking aiding thromboprophylaxis cc management respectively
129,Interaction of olive oil-based propolis and caffeic acid phenethyl ester with methylprednisolone used in the treatment of human acute myeloid leukemia.,"Methylprednisolone (MP) is a pharmaceutical agent employed in the management of Leukemia, which is a systemic malignancy that arises from abnormalities in the hematological system. Numerous investigations in the field of cancer research have directed their attention towards propolis, a natural substance with significant potential as a treatment-supportive agent. Its utilization aims to mitigate the potential adverse effects associated with chemotherapy medications. The objective of this study was to examine the impact of olive oil-based propolis (OEP) and caffeic acid phenethyl ester (CAPE) on the treatment of acute myeloid leukemia, as well as to determine if they exhibit a synergistic effect when combined with the therapeutic support product methylprednisolone.",https://pubmed.ncbi.nlm.nih.gov/38643306/,methylprednisolone mp pharmaceutical agent employed management leukemia systemic malignancy arises abnormality hematological system numerous investigation field cancer research directed attention towards propolis natural substance significant potential treatmentsupportive agent utilization aim mitigate potential adverse effect associated chemotherapy medication objective study examine impact olive oilbased propolis oep caffeic acid phenethyl ester cape treatment acute myeloid leukemia well determine exhibit synergistic effect combined therapeutic support product methylprednisolone
130,Sequence based model using deep neural network and hybrid features for identification of 5-hydroxymethylcytosine modification.,"RNA modifications are pivotal in the development of newly synthesized structures, showcasing a vast array of alterations across various RNA classes. Among these, 5-hydroxymethylcytosine (5HMC) stands out, playing a crucial role in gene regulation and epigenetic changes, yet its detection through conventional methods proves cumbersome and costly. To address this, we propose Deep5HMC, a robust learning model leveraging machine learning algorithms and discriminative feature extraction techniques for accurate 5HMC sample identification. Our approach integrates seven feature extraction methods and various machine learning algorithms, including Random Forest, Naive Bayes, Decision Tree, and Support Vector Machine. Through K-fold cross-validation, our model achieved a notable 84.07% accuracy rate, surpassing previous models by 7.59%, signifying its potential in early cancer and cardiovascular disease diagnosis. This study underscores the promise of Deep5HMC in offering insights for improved medical assessment and treatment protocols, marking a significant advancement in RNA modification analysis.",https://pubmed.ncbi.nlm.nih.gov/38643305/,rna modification pivotal development newly synthesized structure showcasing vast array alteration across various rna class among hydroxymethylcytosine hmc stand playing crucial role gene regulation epigenetic change yet detection conventional method prof cumbersome costly address propose deephmc robust learning model leveraging machine learning algorithm discriminative feature extraction technique accurate hmc sample identification approach integrates seven feature extraction method various machine learning algorithm including random forest naive bayes decision tree support vector machine kfold crossvalidation model achieved notable accuracy rate surpassing previous model signifying potential early cancer cardiovascular disease diagnosis study underscore promise deephmc offering insight improved medical assessment treatment protocol marking significant advancement rna modification analysis
131,8-Cl-Ado and 8-NH,"Targeting the metabolic dependencies of acute myeloid leukemia (AML) cells is a promising therapeutical strategy. In particular, the cysteine and methionine metabolism pathway (C/M) is significantly altered in AML cells compared to healthy blood cells. Moreover, methionine has been identified as one of the dominant amino acid dependencies of AML cells. Through RNA-seq, we found that the two nucleoside analogs 8-chloro-adenosine (8CA) and 8-amino-adenosine (8AA) significantly suppress the C/M pathway in AML cells, and methionine-adenosyltransferase-2A (MAT2A) is one of most significantly downregulated genes. Additionally, mass spectrometry analysis revealed that Venetoclax (VEN), a BCL-2 inhibitor recently approved by the FDA for AML treatment, significantly decreases the intracellular level of methionine in AML cells. Based on these findings, we hypothesized that combining 8CA or 8AA with VEN can efficiently target the Methionine-MAT2A-S-adenosyl-methionine (SAM) axis in AML. Our results demonstrate that VEN and 8CA/8AA synergistically decrease the SAM biosynthesis and effectively target AML cells both in vivo and in vitro. These findings suggest the promising potential of combining 8CA/8AA and VEN for AML treatment by inhibiting Methionine-MAT2A-SAM axis and provide a strong rationale for our recently activated clinical trial.",https://pubmed.ncbi.nlm.nih.gov/38643304/,targeting metabolic dependency acute myeloid leukemia aml cell promising therapeutical strategy particular cysteine methionine metabolism pathway cm significantly altered aml cell compared healthy blood cell moreover methionine identified one dominant amino acid dependency aml cell rnaseq found two nucleoside analog chloroadenosine ca aminoadenosine aa significantly suppress cm pathway aml cell methionineadenosyltransferasea mata one significantly downregulated gene additionally mass spectrometry analysis revealed venetoclax ven bcl inhibitor recently approved fda aml treatment significantly decrease intracellular level methionine aml cell based finding hypothesized combining ca aa ven efficiently target methioninematasadenosylmethionine sam axis aml result demonstrate ven caaa synergistically decrease sam biosynthesis effectively target aml cell vivo vitro finding suggest promising potential combining caaa ven aml treatment inhibiting methioninematasam axis provide strong rationale recently activated clinical trial
132,NET-related gene signature for predicting AML prognosis.,"Acute Myeloid Leukemia (AML) is a malignant blood cancer with a high mortality rate. Neutrophil extracellular traps (NETs) influence various tumor outcomes. However, NET-related genes (NRGs) in AML had not yet received much attention. This study focuses on the role of NRGs in AML and their interaction with the immunological microenvironment. The gene expression and clinical data of patients with AML were downloaded from the TCGA-LAML and GEO cohorts. We identified 148 NRGs through the published article. Univariate Cox regression was used to analyze the association of NRGs with overall survival (OS). The least absolute shrinkage and selection operator were utilized to assess the predictive efficacy of NRGs. Kaplan-Meier plots visualized survival estimates. ROC curves assessed the prognostic value of NRG-based features. A nomogram, integrating clinical information and prognostic scores of patients, was constructed using multivariate logistic regression and Cox proportional hazards regression models. Twenty-seven NRGs were found to significantly impact patient OS. Six NRGs-CFTR, ENO1, PARVB, DDIT4, MPO, LDLR-were notable for their strong predictive ability regarding patient survival. The ROC values for 1-, 3-, and 5-year survival rates were 0.794, 0.781, and 0.911, respectively. In the training set (TCGA-LAML), patients in the high NRG risk group showed a poorer prognosis (p < 0.001), which was validated in two external datasets (GSE71014 and GSE106291). The 6-NRG signature and corresponding nomograms exhibit superior predictive accuracy, offering insights for pre-immune response evaluation and guiding future immuno-oncology treatments and drug selection for AML patients.",https://pubmed.ncbi.nlm.nih.gov/38643300/,acute myeloid leukemia aml malignant blood cancer high mortality rate neutrophil extracellular trap net influence various tumor outcome however netrelated gene nrgs aml yet received much attention study focus role nrgs aml interaction immunological microenvironment gene expression clinical data patient aml downloaded tcgalaml geo cohort identified nrgs published article univariate cox regression used analyze association nrgs overall survival o least absolute shrinkage selection operator utilized ass predictive efficacy nrgs kaplanmeier plot visualized survival estimate roc curve assessed prognostic value nrgbased feature nomogram integrating clinical information prognostic score patient constructed using multivariate logistic regression cox proportional hazard regression model twentyseven nrgs found significantly impact patient o six nrgscftr eno parvb ddit mpo ldlrwere notable strong predictive ability regarding patient survival roc value year survival rate respectively training set tcgalaml patient high nrg risk group showed poorer prognosis p validated two external datasets gse gse nrg signature corresponding nomogram exhibit superior predictive accuracy offering insight preimmune response evaluation guiding future immunooncology treatment drug selection aml patient
133,Maternal factor Trim75 contributes to zygotic genome activation program in mouse early embryos.,"Zygotic genome activation (ZGA) is an important event in the early embryo development, and human embryo developmental arrest has been highly correlated with ZGA failure in clinical studies. Although a few studies have linked maternal factors to mammalian ZGA, more studies are needed to fully elucidate the maternal factors that are involved in ZGA.",https://pubmed.ncbi.nlm.nih.gov/38643284/,zygotic genome activation zga important event early embryo development human embryo developmental arrest highly correlated zga failure clinical study although study linked maternal factor mammalian zga study needed fully elucidate maternal factor involved zga
134,Chromosome-level genome assembly of marine diatom Skeletonema tropicum.,"Skeletonema tropicum is a marine diatom of the genus Skeletonema that also includes many well-known species including S. marinoi. S. tropicum is a high temperature preferring species thriving in tropical ocean regions or temperate ocean regions during summer-autumn. However, mechanisms of ecological adaptation of S. tropicum remain poorly understood due partially to the lack of a high-quality whole genome assembly. Here, we report the first high-quality chromosome-scale genome assembly for S. tropicum, using cutting-edge technologies including PacBio single molecular sequencing and high-throughput chromatin conformation capture. The assembled genome has a size of 78.78 Mb with a scaffold N50 of 3.17 Mb, anchored to 23 pseudo-chromosomes. In total, 20,613 protein-coding genes were predicted, of which 17,757 (86.14%) genes were functionally annotated. Collinearity analysis of the genomes of S. tropicum and S. marinoi revealed that these two genomes were highly homologous. This chromosome-level genome assembly of S. tropicum provides a valuable genomic platform for comparative analysis of mechanisms of ecological adaption.",https://pubmed.ncbi.nlm.nih.gov/38643276/,skeletonema tropicum marine diatom genus skeletonema also includes many wellknown specie including marinoi tropicum high temperature preferring specie thriving tropical ocean region temperate ocean region summerautumn however mechanism ecological adaptation tropicum remain poorly understood due partially lack highquality whole genome assembly report first highquality chromosomescale genome assembly tropicum using cuttingedge technology including pacbio single molecular sequencing highthroughput chromatin conformation capture assembled genome size mb scaffold n mb anchored pseudochromosomes total proteincoding gene predicted gene functionally annotated collinearity analysis genome tropicum marinoi revealed two genome highly homologous chromosomelevel genome assembly tropicum provides valuable genomic platform comparative analysis mechanism ecological adaption
135,Spontaneous Akt2 deficiency in a colony of NOD mice exhibiting early diabetes.,"Diabetes constitutes a major public health problem, with dramatic consequences for patients. Both genetic and environmental factors were shown to contribute to the different forms of the disease. The monogenic forms, found both in humans and in animal models, specially help to decipher the role of key genes in the physiopathology of the disease. Here, we describe the phenotype of early diabetes in a colony of NOD mice, with spontaneous invalidation of Akt2, that we called HYP. The HYP mice were characterised by a strong and chronic hyperglycaemia, beginning around the age of one month, especially in male mice. The phenotype was not the consequence of the acceleration of the autoimmune response, inherent to the NOD background. Interestingly, in HYP mice, we observed hyperinsulinemia before hyperglycaemia occurred. We did not find any difference in the pancreas' architecture of the NOD and HYP mice (islets' size and staining for insulin and glucagon) but we detected a lower insulin content in the pancreas of HYP mice compared to NOD mice. These results give new insights about the role played by Akt2 in glucose homeostasis and argue for the ß cell failure being the primary event in the course of diabetes.",https://pubmed.ncbi.nlm.nih.gov/38643275/,diabetes constitutes major public health problem dramatic consequence patient genetic environmental factor shown contribute different form disease monogenic form found human animal model specially help decipher role key gene physiopathology disease describe phenotype early diabetes colony nod mouse spontaneous invalidation akt called hyp hyp mouse characterised strong chronic hyperglycaemia beginning around age one month especially male mouse phenotype consequence acceleration autoimmune response inherent nod background interestingly hyp mouse observed hyperinsulinemia hyperglycaemia occurred find difference pancreas architecture nod hyp mouse islet size staining insulin glucagon detected lower insulin content pancreas hyp mouse compared nod mouse result give new insight role played akt glucose homeostasis argue cell failure primary event course diabetes
136,Integrative analysis in head and neck cancer reveals distinct role of miRNome and methylome as tumour epigenetic drivers.,"Head and neck cancer is the sixth most common malignancy worldwide, with the relatively low 5-year survival rate, mainly because it is diagnosed at a late stage. Infection with HPV is a well known aetiology, which affects the nature of these cancers and patients' survival. Besides, it is considered that the main driving force for this type of cancer could be epigenetics. In this study we aimed to find potential epigenetic biomarkers, by integrating miRNome, methylome, and transcriptome analyses. From the fresh head and neck cancer tissue samples, we chose a group for miRNome, methylome and transcriptome profiling, in comparison to adequate control samples. Bioinformatics analyses are performed in R v4.2.2. Count normalisation and group differential expression for mRNA and the previously obtained miRNA count data was performed with DESeq2 v1.36. Gene set enrichment analysis was performed and visualised using gProfiler2 v0.2.1 Identification of miRNA targets was performed by querying in miRTarBase using multiMiR v1.18.0. Annotation of CpG sites merging into islands was obtained from RnBeads.hg19 v1.28.0. package. For the integrative analysis we performed kmeans clustering using stats v4.2.2 package, using 8-12 clusters and nstart 100. We found that transcriptome analysis divides samples into cancers and controls clusters, with no relation to HPV status or cancer anatomical location. Differentially expressed genes (n = 2781) were predominantly associated with signalling pathways of tumour progression. We identified a cluster of genes under the control of the transcription factor E2F that are significantly underexpressed in cancer tissue, as well as T cell immunity genes and genes related to regulation of transcription. Among overexpressed genes in tumours we found those that belong to cell cycle regulation and vasculature. A small number of genes were found significantly differentially expressed in HPV-positive versus HPV-negative tumours (for example NEFH, ZFR2, TAF7L, ZNF541, and TYMS). In this comprehensive study on an overlapping set of samples where the integration of miRNome, methylome and transcriptome analysis were performed for head and neck cancer, we demonstrated that the majority of genes were associated exclusively with miRNome or methylome and, to a lesser extent, under the control of both epigenetic mechanisms.",https://pubmed.ncbi.nlm.nih.gov/38643268/,head neck cancer sixth common malignancy worldwide relatively low year survival rate mainly diagnosed late stage infection hpv well known aetiology affect nature cancer patient survival besides considered main driving force type cancer could epigenetics study aimed find potential epigenetic biomarkers integrating mirnome methylome transcriptome analysis fresh head neck cancer tissue sample chose group mirnome methylome transcriptome profiling comparison adequate control sample bioinformatics analysis performed r v count normalisation group differential expression mrna previously obtained mirna count data performed deseq v gene set enrichment analysis performed visualised using gprofiler v identification mirna target performed querying mirtarbase using multimir v annotation cpg site merging island obtained rnbeadshg v package integrative analysis performed kmeans clustering using stats v package using cluster nstart found transcriptome analysis divide sample cancer control cluster relation hpv status cancer anatomical location differentially expressed gene n predominantly associated signalling pathway tumour progression identified cluster gene control transcription factor ef significantly underexpressed cancer tissue well cell immunity gene gene related regulation transcription among overexpressed gene tumour found belong cell cycle regulation vasculature small number gene found significantly differentially expressed hpvpositive versus hpvnegative tumour example nefh zfr tafl znf tyms comprehensive study overlapping set sample integration mirnome methylome transcriptome analysis performed head neck cancer demonstrated majority gene associated exclusively mirnome methylome lesser extent control epigenetic mechanism
137,Rummagene: massive mining of gene sets from supporting materials of biomedical research publications.,"Many biomedical research publications contain gene sets in their supporting tables, and these sets are currently not available for search and reuse. By crawling PubMed Central, the Rummagene server provides access to hundreds of thousands of such mammalian gene sets. So far, we scanned 5,448,589 articles to find 121,237 articles that contain 642,389 gene sets. These sets are served for enrichment analysis, free text, and table title search. Investigating statistical patterns within the Rummagene database, we demonstrate that Rummagene can be used for transcription factor and kinase enrichment analyses, and for gene function predictions. By combining gene set similarity with abstract similarity, Rummagene can find surprising relationships between biological processes, concepts, and named entities. Overall, Rummagene brings to surface the ability to search a massive collection of published biomedical datasets that are currently buried and inaccessible. The Rummagene web application is available at https://rummagene.com .",https://pubmed.ncbi.nlm.nih.gov/38643247/,many biomedical research publication contain gene set supporting table set currently available search reuse crawling pubmed central rummagene server provides access hundred thousand mammalian gene set far scanned article find article contain gene set set served enrichment analysis free text table title search investigating statistical pattern within rummagene database demonstrate rummagene used transcription factor kinase enrichment analysis gene function prediction combining gene set similarity abstract similarity rummagene find surprising relationship biological process concept named entity overall rummagene brings surface ability search massive collection published biomedical datasets currently buried inaccessible rummagene web application available httpsrummagenecom
138,"Analysis of long-range chromatin contacts, compartments and looping between mouse embryonic stem cells, lens epithelium and lens fibers.","Nuclear organization of interphase chromosomes involves individual chromosome territories, ""open"" and ""closed"" chromatin compartments, topologically associated domains (TADs) and chromatin loops. The DNA- and RNA-binding transcription factor CTCF together with the cohesin complex serve as major organizers of chromatin architecture. Cellular differentiation is driven by temporally and spatially coordinated gene expression that requires chromatin changes of individual loci of various complexities. Lens differentiation represents an advantageous system to probe transcriptional mechanisms underlying tissue-specific gene expression including high transcriptional outputs of individual crystallin genes until the mature lens fiber cells degrade their nuclei.",https://pubmed.ncbi.nlm.nih.gov/38643244/,nuclear organization interphase chromosome involves individual chromosome territory open closed chromatin compartment topologically associated domain tad chromatin loop dna rnabinding transcription factor ctcf together cohesin complex serve major organizer chromatin architecture cellular differentiation driven temporally spatially coordinated gene expression requires chromatin change individual locus various complexity lens differentiation represents advantageous system probe transcriptional mechanism underlying tissuespecific gene expression including high transcriptional output individual crystallin gene mature lens fiber cell degrade nucleus
139,Alfalfa xeno-miR159a regulates bovine mammary epithelial cell proliferation and milk protein synthesis by targeting PTPRF.,"Milk protein content is an important index to evaluate the quality and nutrition of milk. Accumulating evidence suggests that microRNAs (miRNAs) play important roles in bovine lactation, but little is known regarding the cross-kingdom regulatory roles of plant-derived exogenous miRNAs (xeno-miRNAs) in milk protein synthesis, particularly the underlying molecular mechanisms. The purpose of this study was to explore the regulatory mechanism of alfalfa-derived xeno-miRNAs on proliferation and milk protein synthesis in bovine mammary epithelial cells (BMECs). Our previous study showed that alfalfa miR159a (mtr-miR159a, xeno-miR159a) was highly expressed in alfalfa, and the abundance of mtr-miR159a was significantly lower in serum and whey from high-protein-milk dairy cows compared with low-protein-milk dairy cows. In this study, mRNA expression was detected by real-time quantitative PCR (qRT-PCR), and casein content was evaluated by enzyme-linked immunosorbent assay (ELISA). Cell proliferation and apoptosis were detected using the cell counting kit 8 (CCK-8) assay, 5-ethynyl-2'-deoxyuridine (EdU) staining, western blot, and flow cytometry. A dual-luciferase reporter assay was used to determine the regulation of Protein Tyrosine Phosphatase Receptor Type F (PTPRF) by xeno-miR159a. We found that xeno-miR159a overexpression inhibited proliferation of BMEC and promoted cell apoptosis. Besides, xeno-miR159a overexpression decreased β-casein abundance, and increased α-casein and κ-casein abundance in BMECs. Dual-luciferase reporter assay result confirmed that PTPRF is a target gene of xeno-miR159a. These results provide new insights into the mechanism by which alfalfa-derived miRNAs regulate BMECs proliferation and milk protein synthesis.",https://pubmed.ncbi.nlm.nih.gov/38643232/,milk protein content important index evaluate quality nutrition milk accumulating evidence suggests micrornas mirnas play important role bovine lactation little known regarding crosskingdom regulatory role plantderived exogenous mirnas xenomirnas milk protein synthesis particularly underlying molecular mechanism purpose study explore regulatory mechanism alfalfaderived xenomirnas proliferation milk protein synthesis bovine mammary epithelial cell bmecs previous study showed alfalfa mira mtrmira xenomira highly expressed alfalfa abundance mtrmira significantly lower serum whey highproteinmilk dairy cow compared lowproteinmilk dairy cow study mrna expression detected realtime quantitative pcr qrtpcr casein content evaluated enzymelinked immunosorbent assay elisa cell proliferation apoptosis detected using cell counting kit cck assay ethynyldeoxyuridine edu staining western blot flow cytometry dualluciferase reporter assay used determine regulation protein tyrosine phosphatase receptor type f ptprf xenomira found xenomira overexpression inhibited proliferation bmec promoted cell apoptosis besides xenomira overexpression decreased casein abundance increased casein casein abundance bmecs dualluciferase reporter assay result confirmed ptprf target gene xenomira result provide new insight mechanism alfalfaderived mirnas regulate bmecs proliferation milk protein synthesis
140,Detection and genomic characterization of Klebsiella pneumoniae and Escherichia coli harboring tet(X4) in black kites (Milvus migrans) in Pakistan.,"The emergence of plasmid-mediated tigecycline resistance gene tet(X4) among clinically relevant bacteria has promoted significant concerns, as tigecycline is considered a last-resort drug against serious infections caused by multidrug-resistant bacteria. We herein focused on the isolation and molecular characterization of tet(X4)-positive Klebsiella pneumoniae (K. pneumoniae) and Escherichia coli (E. coli) in wild bird populations with anthropogenic interaction in Faisalabad, Pakistan. A total of 150 birds including black kites (Milvus migrans) and house crows (Corvus splendens) were screened for the presence of tigecycline resistance K. pneumoniae and E. coli. We found two K. pneumoniae and one E. coli isolate carrying tet(X4) originating from black kites. A combination of short- and long-read sequencing strategies showed that tet(X4) was located on a broad host range IncFII plasmid family in K. pneumoniae isolates whereas on an IncFII-IncFIB hybrid plasmid in E. coli. We also found an integrative and conjugative element ICEKp2 in K. pneumoniae isolate KP8336. We demonstrate the first description of tet(X4) gene in the WHO critical-priority pathogen K. pneumoniae among wild birds. The convergence of tet(X4) and virulence associated ICEKp2 in a wild bird with known anthropogenic contact should be further investigated to evaluate the potential epidemiological implications. The potential risk of global transmission of tet(X4)-positive K. pneumoniae and E. coli warrant comprehensive evaluation and emphasizes the need for effective mitigation strategies to reduce anthropogenic-driven dissemination of AMR in the environment.",https://pubmed.ncbi.nlm.nih.gov/38643223/,emergence plasmidmediated tigecycline resistance gene tetx among clinically relevant bacteria promoted significant concern tigecycline considered lastresort drug serious infection caused multidrugresistant bacteria herein focused isolation molecular characterization tetxpositive klebsiella pneumoniae k pneumoniae escherichia coli e coli wild bird population anthropogenic interaction faisalabad pakistan total bird including black kite milvus migrans house crow corvus splendens screened presence tigecycline resistance k pneumoniae e coli found two k pneumoniae one e coli isolate carrying tetx originating black kite combination short longread sequencing strategy showed tetx located broad host range incfii plasmid family k pneumoniae isolates whereas incfiiincfib hybrid plasmid e coli also found integrative conjugative element icekp k pneumoniae isolate kp demonstrate first description tetx gene criticalpriority pathogen k pneumoniae among wild bird convergence tetx virulence associated icekp wild bird known anthropogenic contact investigated evaluate potential epidemiological implication potential risk global transmission tetxpositive k pneumoniae e coli warrant comprehensive evaluation emphasizes need effective mitigation strategy reduce anthropogenicdriven dissemination amr environment
141,Discovery and technical validation of high-performance methylated DNA markers for the detection of cervical lesions at risk of malignant progression in low- and middle-income countries.,"Cervical cancer remains a leading cause of death, particularly in developing countries. WHO screening guidelines recommend human papilloma virus (HPV) detection as a means to identify women at risk of developing cervical cancer. While HPV testing identifies those at risk, it does not specifically distinguish individuals with neoplasia. We investigated whether a quantitative molecular test that measures methylated DNA markers could identify high-risk lesions in the cervix with accuracy.",https://pubmed.ncbi.nlm.nih.gov/38643219/,cervical cancer remains leading cause death particularly developing country screening guideline recommend human papilloma virus hpv detection mean identify woman risk developing cervical cancer hpv testing identifies risk specifically distinguish individual neoplasia investigated whether quantitative molecular test measure methylated dna marker could identify highrisk lesion cervix accuracy
142,"The overlooked evolutionary dynamics of 16S rRNA revises its role as the ""gold standard"" for bacterial species identification.","The role of 16S rRNA has been and largely remains crucial for the identification of microbial organisms. Although 16S rRNA could certainly be described as one of the most studied sequences ever, the current view of it remains somewhat ambiguous. While some consider 16S rRNA to be a variable marker with resolution power down to the strain level, others consider them to be living fossils that carry information about the origin of domains of cellular life. We show that 16S rRNA is clearly an evolutionarily very rigid sequence, making it a largely unique and irreplaceable marker, but its applicability beyond the genus level is highly limited. Interestingly, it seems that the evolutionary rigidity is not driven by functional constraints of the sequence (RNA-protein interactions), but rather results from the characteristics of the host organism. Our results suggest that, at least in some lineages, Horizontal Gene Transfer (HGT) within genera plays an important role for the evolutionary non-dynamics (stasis) of 16S rRNA. Such genera exhibit an apparent lack of diversification at the 16S rRNA level in comparison to the rest of a genome. However, why it is limited specifically and solely to 16S rRNA remains enigmatic.",https://pubmed.ncbi.nlm.nih.gov/38643216/,role rrna largely remains crucial identification microbial organism although rrna could certainly described one studied sequence ever current view remains somewhat ambiguous consider rrna variable marker resolution power strain level others consider living fossil carry information origin domain cellular life show rrna clearly evolutionarily rigid sequence making largely unique irreplaceable marker applicability beyond genus level highly limited interestingly seems evolutionary rigidity driven functional constraint sequence rnaprotein interaction rather result characteristic host organism result suggest least lineage horizontal gene transfer hgt within genus play important role evolutionary nondynamics stasis rrna genus exhibit apparent lack diversification rrna level comparison rest genome however limited specifically solely rrna remains enigmatic
